gas_type,distance,consume,speed,temp_inside,temp_outside
E10,25.2,5.0,55.0,22.5,9.0
E10,14.3,4.8,36.0,22.5,10.0
E10,11.8,4.6,40.0,22.5,2.0
E10,13.0,5.9,32.0,22.5,10.0
E10,12.3,5.0,42.0,22.5,10.0
E10,11.8,4.4,42.0,22.5,8.0
E10,24.9,4.5,53.0,22.5,14.0
E10,11.8,4.4,33.0,22.5,8.0
E10,7.4,5.0,31.0,22.5,12.0
E10,2.0,6.0,22.0,22.5,14.0
E10,14.0,5.0,41.0,22.5,8.0
E10,25.7,5.0,45.0,22.5,7.0
E10,11.8,4.5,28.0,22.5,12.0
E10,4.1,5.4,24.0,22.5,13.0
E10,4.2,5.6,29.0,22.0,17.0
E10,16.0,4.0,40.0,22.0,10.0
E10,22.9,4.0,29.0,21.5,21.0
E10,16.0,3.8,42.0,21.5,8.0
E10,15.4,4.5,50.0,22.0,14.0
E10,16.0,3.8,41.0,22.0,12.0
E10,4.2,5.6,32.0,22.0,18.0
SP98,16.0,4.1,40.0,22.0,10.0
SP98,16.1,4.5,32.0,22.0,19.0
SP98,16.0,4.5,41.0,22.0,11.0
SP98,24.7,4.5,26.0,22.0,10.0
SP98,16.0,3.9,42.0,22.0,8.0
SP98,15.4,4.6,43.0,22.0,16.0
SP98,16.0,3.8,40.0,22.0,8.0
SP98,25.9,4.4,40.0,22.0,14.0
SP98,6.7,5.0,30.0,22.0,17.0
SP98,6.6,5.6,43.0,22.0,16.0
SP98,14.3,4.1,26.0,22.0,20.0
SP98,13.3,4.6,33.0,22.0,18.0
SP98,8.3,4.9,26.0,22.0,23.0
SP98,16.5,4.1,47.0,22.0,14.0
SP98,20.6,4.1,38.0,22.0,21.0
SP98,16.3,4.5,58.0,22.0,16.0
SP98,16.0,3.8,42.0,22.0,11.0
SP98,16.0,3.9,40.0,22.0,10.0
SP98,11.9,5.3,34.0,22.0,13.0
SP98,10.1,4.2,35.0,22.0,16.0
SP98,18.7,4.0,60.0,22.0,13.0
SP98,11.3,4.3,38.0,22.0,17.0
SP98,11.5,5.3,53.0,22.0,15.0
SP98,21.4,5.2,51.0,22.0,13.0
SP98,25.9,4.1,43.0,22.0,24.0
SP98,16.5,4.0,48.0,22.0,15.0
SP98,22.1,3.9,29.0,22.0,26.0
E10,16.6,3.7,49.0,22.0,17.0
E10,15.4,4.5,43.0,22.0,24.0
E10,16.5,3.9,43.0,22.0,17.0
